46GP8,Watching/Looking outside of a window,285,507
46GP8,Someone is cooking something,0,301
N11GT,Holding a broom,206,339
N11GT,Tidying up a blanket/s,0,279
N11GT,Tidying something on the floor,0,363
N11GT,Someone is sneezing,153,289
KRF68,Taking a phone/camera from somewhere,542,666
KRF68,Grasping onto a doorknob,98,229
KRF68,Someone is dressing,247,599
KRF68,Closing a door,100,260
KRF68,Taking some clothes from somewhere,163,337
KRF68,Someone is running somewhere,0,236
KRF68,Holding some clothes,148,366
MJO7C,Holding a phone/camera,0,767
MJO7C,Holding a cup/glass/bottle of something,0,767
S6MPZ,Putting something on a table,0,102
S6MPZ,Sitting at a table,0,935
S6MPZ,Holding a phone/camera,0,935
S6MPZ,Talking on a phone/camera,0,935
S6MPZ,Someone is eating something,0,735
S6MPZ,Sitting in a chair,0,935
S6MPZ,Holding some food,0,191
S6MPZ,Holding some food,120,275
S6MPZ,Putting a phone/camera somewhere,0,851
S6MPZ,Taking food from somewhere,0,87
7HVU8,Holding a bag,0,133
7HVU8,Tidying some clothes,297,743
7HVU8,Putting clothes somewhere,0,239
7HVU8,Fixing their hair,324,452
7HVU8,Tidying something on the floor,0,119
7HVU8,Tidying something on the floor,38,186
7HVU8,Tidying something on the floor,151,294
MCQO5,Someone is dressing,100,320
MCQO5,Holding some clothes,50,563
MCQO5,Holding a cup/glass/bottle of something,513,629
MCQO5,Taking some clothes from somewhere,36,150
MCQO5,Taking a cup/glass/bottle from somewhere,494,620
VPIYF,Holding a phone/camera,43,263
JSUF4,Sitting on sofa/couch,386,508
JSUF4,Drinking from a cup/glass/bottle,424,508
JSUF4,Tidying up with a broom,0,296
JSUF4,Someone is going from standing to sitting,362,508
JSUF4,Tidying something on the floor,0,371
8WJIR,Putting something on a table,98,308
8WJIR,Drinking from a cup/glass/bottle,309,563
8WJIR,Closing a door,177,421
8WJIR,Someone is standing up from somewhere,168,339
8WJIR,Holding a cup/glass/bottle of something,0,246
8WJIR,Laughing at television,122,347
8WJIR,Holding a cup/glass/bottle of something,372,863
8WJIR,Someone is smiling,122,347
8WJIR,Watching television,14,267
8WJIR,Taking a cup/glass/bottle from somewhere,268,471
8WJIR,Someone is going from standing to sitting,240,498
8WJIR,Sitting in a bed,244,510
8WJIR,Putting a cup/glass/bottle somewhere,132,325
INQNU,Tidying some clothes,0,184
INQNU,Tidying up a blanket/s,0,184
LI6LV,Putting a towel/s somewhere,0,159
LI6LV,Taking/consuming some medicine,724,863
LI6LV,Drinking from a cup/glass/bottle,753,863
LI6LV,Someone is undressing,64,363
LI6LV,Someone is dressing,319,464
LI6LV,Taking/consuming some medicine,460,644
LI6LV,Putting clothes somewhere,0,155
LI6LV,Watching something/someone/themselves in a mirror,693,863
LI6LV,Taking some clothes from somewhere,0,155
MGCM8,Sitting at a table,0,767
MGCM8,Working at a table,0,767
MGCM8,Sitting in a chair,0,767
I8QJN,Lying on the floor,0,270
I8QJN,Drinking from a cup/glass/bottle,516,723
I8QJN,Someone is standing up from somewhere,156,397
I8QJN,Holding a cup/glass/bottle of something,309,767
I8QJN,Someone is awakening somewhere,163,303
XC9EY,Watching/looking at a picture,100,431
XC9EY,Putting a cup/glass/bottle somewhere,381,515
XC9EY,Putting something on a table,386,505
XC9EY,Holding a dish,0,503
XC9EY,Putting a dish/es somewhere,381,505
XC9EY,Holding a cup/glass/bottle of something,0,500
DOQ9Y,Putting clothes somewhere,177,361
DOQ9Y,Closing a door,816,980
DOQ9Y,Holding some food,422,767
DOQ9Y,Walking through a doorway,722,1002
DOQ9Y,Someone is undressing,0,361
DOQ9Y,Putting something on a shelf,580,846
DOQ9Y,Grasping onto a doorknob,820,990
DOQ9Y,Holding a bag,727,1007
DOQ9Y,Holding some clothes,156,351
DOQ9Y,Taking a bag from somewhere,312,491
DOQ9Y,Taking food from somewhere,412,587
DOQ9Y,Taking food from somewhere,516,680
RK9II,Tidying up a table,247,839
RK9II,Someone is standing up from somewhere,710,839
QGQGZ,Opening a door,0,224
QGQGZ,Turning on a light,249,359
QGQGZ,Putting groceries somewhere,352,815
QGQGZ,Holding a dish,451,815
QGQGZ,Taking food from somewhere,458,815
QGQGZ,Holding some food,453,810
QGQGZ,Walking through a doorway,24,229
5S1WQ,Throwing a broom somewhere,0,61
5S1WQ,Tidying something on the floor,187,754
5S1WQ,Tidying up with a broom,153,738
5S1WQ,Taking a broom from somewhere,144,263
5S1WQ,Holding a broom,148,735
CUCBN,Someone is standing up from somewhere,177,308
CUCBN,Sitting on sofa/couch,0,270
CUCBN,Putting something on a table,88,260
CUCBN,Walking through a doorway,321,469
SX0HE,Holding a cup/glass/bottle of something,0,287
SX0HE,Holding a phone/camera,0,140
SX0HE,Talking on a phone/camera,69,287
SX0HE,Drinking from a cup/glass/bottle,0,140
72JYK,Opening a laptop,160,287
72JYK,Holding some food,417,567
