9223,Thumb Up,35
107090,Pushing Two Fingers Away,37
42920,Swiping Left,33
106485,Thumb Down,36
142201,Rolling Hand Backward,38
12912,Sliding Two Fingers Right,37
35341,Zooming In With Full Hand,38
94928,Swiping Right,37
117498,Swiping Left,34
33245,Pulling Two Fingers In,37
55754,Doing other things,38
73384,Zooming In With Two Fingers,34
123292,Thumb Up,37
31863,Sliding Two Fingers Down,34
81336,Zooming In With Full Hand,34
59238,Pulling Two Fingers In,33
67647,Pushing Hand Away,37
44353,Doing other things,37
140878,Thumb Up,37
90764,Sliding Two Fingers Left,37
53258,Pulling Hand In,38
140793,Sliding Two Fingers Left,36
46546,Drumming Fingers,33
90700,Zooming In With Two Fingers,36
101162,Zooming Out With Full Hand,37
58637,Doing other things,37
77181,Shaking Hand,38
52721,Swiping Right,34
139559,Sliding Two Fingers Up,37
51778,Pulling Hand In,37
52754,Pulling Two Fingers In,36
30370,Sliding Two Fingers Up,36
85466,Zooming In With Full Hand,36
4983,Sliding Two Fingers Up,26
59900,Thumb Up,37
99317,Swiping Up,37
30025,Sliding Two Fingers Up,36
2600,Doing other things,36
30529,Thumb Down,37
112463,Sliding Two Fingers Left,35
58028,Rolling Hand Backward,37
54598,Swiping Down,37
57864,Pushing Hand Away,37
130629,Turning Hand Counterclockwise,36
68879,Swiping Right,33
145322,Pushing Hand Away,37
85961,Turning Hand Counterclockwise,33
103219,Zooming In With Two Fingers,37
30228,No gesture,29
63575,Doing other things,32
7565,No gesture,35
131584,Doing other things,37
37527,Swiping Down,37
84457,Swiping Right,37
124915,No gesture,37
17330,Swiping Left,37
79085,Thumb Up,37
45131,Zooming In With Full Hand,37
18103,Sliding Two Fingers Right,37
18118,Zooming In With Two Fingers,37
142471,Sliding Two Fingers Up,36
38895,Sliding Two Fingers Down,37
130797,Thumb Down,36
44948,Sliding Two Fingers Right,37
125044,Swiping Left,36
17782,Doing other things,37
72284,No gesture,38
48467,Zooming Out With Full Hand,35
59741,Drumming Fingers,33
133518,Pulling Two Fingers In,37
142576,Doing other things,38
49358,Doing other things,37
17333,Swiping Left,32
97051,Doing other things,38
45903,Zooming In With Full Hand,37
122427,Zooming In With Two Fingers,36
79761,Zooming Out With Two Fingers,35
1440,Swiping Down,37
100509,Rolling Hand Backward,36
89648,Swiping Up,37
133366,Swiping Up,32
134754,Shaking Hand,34
22858,Turning Hand Counterclockwise,37
122236,Sliding Two Fingers Right,35
126843,Turning Hand Counterclockwise,37
99155,Sliding Two Fingers Down,37
10131,Pushing Two Fingers Away,35
107049,Zooming In With Full Hand,37
104650,Pulling Two Fingers In,37
115054,Sliding Two Fingers Left,36
111555,Turning Hand Clockwise,37
137713,Turning Hand Counterclockwise,37
9191,Swiping Up,37
19104,Drumming Fingers,35
133388,Doing other things,38
136106,Rolling Hand Forward,33
37166,Doing other things,38
26115,Pulling Hand In,36
23850,Sliding Two Fingers Left,23
58359,Swiping Left,37
103872,Doing other things,36
44676,Thumb Down,37
